Регистрационный номер,Наименование НИОКР,Организация,Год начала,Год окончания,Тип работы,Направление,Стоимость
NIOKR-000754,Исследование в области 'Квантовые технологии' №754,МФТИ,2023,2025,НИР,Квантовые технологии,66987872
NIOKR-000755,Исследование в области 'Биотехнологии' №755,ИТМО,2020,2021,НИР,Биотехнологии,69038903
NIOKR-000756,Исследование в области 'Микроэлектроника' №756,Томский политехнический университет,2018,2021,НИР,Микроэлектроника,11580463
NIOKR-000757,Исследование в области 'Квантовые технологии' №757,НИЯУ МИФИ,2022,2024,ОКР,Квантовые технологии,61004467
NIOKR-000758,Исследование в области 'Квантовые технологии' №758,МГТУ им. Баумана,2020,2021,НИР,Квантовые технологии,55148754
NIOKR-000759,Исследование в области 'Информационные технологии' №759,НИЯУ МИФИ,2021,2022,Технологическая работа,Информационные технологии,84089652
NIOKR-000760,Исследование в области 'Робототехника' №760,КФУ,2019,2022,ОКР,Робототехника,49767001
NIOKR-000761,Исследование в области 'Квантовые технологии' №761,НИУ ВШЭ,2015,2016,Технологическая работа,Квантовые технологии,84182506
NIOKR-000762,Исследование в области 'Биотехнологии' №762,КФУ,2024,2026,НИР,Биотехнологии,14077775
NIOKR-000763,Исследование в области 'Биотехнологии' №763,НИУ ВШЭ,2018,2019,Технологическая работа,Биотехнологии,40189370
NIOKR-000764,Исследование в области 'Биотехнологии' №764,НИЯУ МИФИ,2023,2026,НИР,Биотехнологии,23032560
NIOKR-000765,Исследование в области 'Микроэлектроника' №765,НИЯУ МИФИ,2022,2023,ОКР,Микроэлектроника,82987136
NIOKR-000766,Исследование в области 'Искусственный интеллект' №766,Томский политехнический университет,2018,2019,НИР,Искусственный интеллект,62343676
NIOKR-000767,Исследование в области 'Биотехнологии' №767,НИЯУ МИФИ,2018,2021,ОКР,Биотехнологии,7241172
NIOKR-000768,Исследование в области 'Квантовые технологии' №768,КФУ,2024,2025,Технологическая работа,Квантовые технологии,80096676
NIOKR-000769,Исследование в области 'Квантовые технологии' №769,МГТУ им. Баумана,2023,2024,Технологическая работа,Квантовые технологии,99812961
NIOKR-000770,Исследование в области 'Микроэлектроника' №770,Сколтех,2015,2018,ОКР,Микроэлектроника,69227286
NIOKR-000771,Исследование в области 'Ядерные технологии' №771,МФТИ,2017,2020,НИР,Ядерные технологии,52996696
NIOKR-000772,Исследование в области 'Биотехнологии' №772,УрФУ,2024,2027,ОКР,Биотехнологии,57192230
NIOKR-000773,Исследование в области 'Робототехника' №773,ИТМО,2024,2027,ОКР,Робототехника,47017729
NIOKR-000774,Исследование в области 'Ядерные технологии' №774,МФТИ,2019,2021,ОКР,Ядерные технологии,81869462
NIOKR-000775,Исследование в области 'Биотехнологии' №775,УрФУ,2023,2025,Технологическая работа,Биотехнологии,30171224
NIOKR-000776,Исследование в области 'Новые материалы' №776,НИУ ВШЭ,2018,2019,Технологическая работа,Новые материалы,18806897
NIOKR-000777,Исследование в области 'Биотехнологии' №777,НИЯУ МИФИ,2017,2020,ОКР,Биотехнологии,76467972
NIOKR-000778,Исследование в области 'Микроэлектроника' №778,УрФУ,2022,2025,ОКР,Микроэлектроника,57691738
NIOKR-000779,Исследование в области 'Искусственный интеллект' №779,МГТУ им. Баумана,2015,2018,ОКР,Искусственный интеллект,20505421
NIOKR-000780,Исследование в области 'Информационные технологии' №780,СПбГУ,2015,2018,ОКР,Информационные технологии,22600382
NIOKR-000781,Исследование в области 'Новые материалы' №781,МФТИ,2019,2022,НИР,Новые материалы,93690071
NIOKR-000782,Исследование в области 'Информационные технологии' №782,НИУ ВШЭ,2019,2020,ОКР,Информационные технологии,14754633
NIOKR-000783,Исследование в области 'Робототехника' №783,УрФУ,2024,2027,ОКР,Робототехника,32889524
NIOKR-000784,Исследование в области 'Новые материалы' №784,МГТУ им. Баумана,2023,2026,ОКР,Новые материалы,53016704
NIOKR-000785,Исследование в области 'Биотехнологии' №785,УрФУ,2021,2024,НИР,Биотехнологии,2740164
NIOKR-000786,Исследование в области 'Квантовые технологии' №786,СПбГУ,2019,2020,Технологическая работа,Квантовые технологии,95573712
NIOKR-000787,Исследование в области 'Робототехника' №787,СПбГУ,2020,2023,ОКР,Робототехника,61238919
NIOKR-000788,Исследование в области 'Искусственный интеллект' №788,МФТИ,2017,2020,НИР,Искусственный интеллект,99660698
NIOKR-000789,Исследование в области 'Микроэлектроника' №789,МГТУ им. Баумана,2023,2024,ОКР,Микроэлектроника,38461811
NIOKR-000790,Исследование в области 'Ядерные технологии' №790,МФТИ,2023,2025,Технологическая работа,Ядерные технологии,35227688
NIOKR-000791,Исследование в области 'Квантовые технологии' №791,МФТИ,2015,2017,НИР,Квантовые технологии,21629718
NIOKR-000792,Исследование в области 'Информационные технологии' №792,Сколтех,2020,2023,Технологическая работа,Информационные технологии,41420315
NIOKR-000793,Исследование в области 'Биотехнологии' №793,НИЯУ МИФИ,2022,2025,Технологическая работа,Биотехнологии,43662313
NIOKR-000794,Исследование в области 'Ядерные технологии' №794,УрФУ,2023,2024,НИР,Ядерные технологии,68798790
NIOKR-000795,Исследование в области 'Микроэлектроника' №795,НИЯУ МИФИ,2017,2019,ОКР,Микроэлектроника,30688703
NIOKR-000796,Исследование в области 'Биотехнологии' №796,НИУ ВШЭ,2018,2021,ОКР,Биотехнологии,40402883
NIOKR-000797,Исследование в области 'Квантовые технологии' №797,УрФУ,2018,2021,Технологическая работа,Квантовые технологии,2181612
NIOKR-000798,Исследование в области 'Биотехнологии' №798,КФУ,2016,2019,НИР,Биотехнологии,87203262
NIOKR-000799,Исследование в области 'Робототехника' №799,МГТУ им. Баумана,2024,2027,Технологическая работа,Робототехника,44075436
NIOKR-000800,Исследование в области 'Микроэлектроника' №800,ИТМО,2021,2022,Технологическая работа,Микроэлектроника,98170361
NIOKR-000801,Исследование в области 'Биотехнологии' №801,УрФУ,2019,2020,Технологическая работа,Биотехнологии,60801634
NIOKR-000802,Исследование в области 'Новые материалы' №802,СПбГУ,2022,2023,ОКР,Новые материалы,69973779
NIOKR-000803,Исследование в области 'Ядерные технологии' №803,УрФУ,2016,2017,Технологическая работа,Ядерные технологии,1983894
NIOKR-000804,Исследование в области 'Робототехника' №804,Томский политехнический университет,2016,2017,НИР,Робототехника,28592422
NIOKR-000805,Исследование в области 'Микроэлектроника' №805,НИЯУ МИФИ,2023,2026,Технологическая работа,Микроэлектроника,93079205
NIOKR-000806,Исследование в области 'Квантовые технологии' №806,НИУ ВШЭ,2017,2018,НИР,Квантовые технологии,12746856
NIOKR-000807,Исследование в области 'Ядерные технологии' №807,ИТМО,2016,2017,Технологическая работа,Ядерные технологии,10454577
NIOKR-000808,Исследование в области 'Новые материалы' №808,Томский политехнический университет,2024,2025,ОКР,Новые материалы,61549061
NIOKR-000809,Исследование в области 'Биотехнологии' №809,МГТУ им. Баумана,2021,2023,ОКР,Биотехнологии,91368626
NIOKR-000810,Исследование в области 'Информационные технологии' №810,Сколтех,2016,2019,НИР,Информационные технологии,79598977
NIOKR-000811,Исследование в области 'Искусственный интеллект' №811,НИУ ВШЭ,2015,2018,Технологическая работа,Искусственный интеллект,15245271
NIOKR-000812,Исследование в области 'Новые материалы' №812,Сколтех,2019,2022,НИР,Новые материалы,38784631
NIOKR-000813,Исследование в области 'Микроэлектроника' №813,МГТУ им. Баумана,2022,2024,ОКР,Микроэлектроника,21981381
NIOKR-000814,Исследование в области 'Ядерные технологии' №814,Томский политехнический университет,2023,2024,Технологическая работа,Ядерные технологии,40591339
NIOKR-000815,Исследование в области 'Биотехнологии' №815,МГТУ им. Баумана,2017,2019,Технологическая работа,Биотехнологии,75500200
NIOKR-000816,Исследование в области 'Информационные технологии' №816,МГТУ им. Баумана,2017,2018,Технологическая работа,Информационные технологии,81081663
NIOKR-000817,Исследование в области 'Искусственный интеллект' №817,ИТМО,2021,2024,НИР,Искусственный интеллект,98433661
NIOKR-000818,Исследование в области 'Микроэлектроника' №818,УрФУ,2020,2021,НИР,Микроэлектроника,22602928
NIOKR-000819,Исследование в области 'Новые материалы' №819,СПбГУ,2017,2018,НИР,Новые материалы,25341456
NIOKR-000820,Исследование в области 'Квантовые технологии' №820,УрФУ,2024,2025,НИР,Квантовые технологии,40010740
NIOKR-000821,Исследование в области 'Искусственный интеллект' №821,СПбГУ,2016,2018,Технологическая работа,Искусственный интеллект,78926229
NIOKR-000822,Исследование в области 'Биотехнологии' №822,МФТИ,2022,2024,Технологическая работа,Биотехнологии,88976094
NIOKR-000823,Исследование в области 'Новые материалы' №823,Сколтех,2018,2019,НИР,Новые материалы,26970938
NIOKR-000824,Исследование в области 'Квантовые технологии' №824,НИУ ВШЭ,2020,2022,Технологическая работа,Квантовые технологии,89506156
NIOKR-000825,Исследование в области 'Ядерные технологии' №825,Сколтех,2019,2022,Технологическая работа,Ядерные технологии,49921480
NIOKR-000826,Исследование в области 'Ядерные технологии' №826,МГТУ им. Баумана,2020,2022,ОКР,Ядерные технологии,34041067
NIOKR-000827,Исследование в области 'Микроэлектроника' №827,ИТМО,2018,2021,ОКР,Микроэлектроника,19026223
NIOKR-000828,Исследование в области 'Квантовые технологии' №828,КФУ,2020,2022,ОКР,Квантовые технологии,41999730
NIOKR-000829,Исследование в области 'Искусственный интеллект' №829,МФТИ,2022,2025,Технологическая работа,Искусственный интеллект,82420187
NIOKR-000830,Исследование в области 'Ядерные технологии' №830,УрФУ,2016,2018,НИР,Ядерные технологии,36330756
NIOKR-000831,Исследование в области 'Искусственный интеллект' №831,МГТУ им. Баумана,2016,2019,Технологическая работа,Искусственный интеллект,85775473
NIOKR-000832,Исследование в области 'Микроэлектроника' №832,Сколтех,2015,2018,НИР,Микроэлектроника,5919926
NIOKR-000833,Исследование в области 'Квантовые технологии' №833,МФТИ,2023,2025,ОКР,Квантовые технологии,53680236
NIOKR-000834,Исследование в области 'Новые материалы' №834,МФТИ,2018,2021,ОКР,Новые материалы,68259613
NIOKR-000835,Исследование в области 'Микроэлектроника' №835,НИУ ВШЭ,2023,2024,Технологическая работа,Микроэлектроника,2421591
NIOKR-000836,Исследование в области 'Ядерные технологии' №836,УрФУ,2018,2021,НИР,Ядерные технологии,60890694
NIOKR-000837,Исследование в области 'Ядерные технологии' №837,КФУ,2017,2018,ОКР,Ядерные технологии,6425057
NIOKR-000838,Исследование в области 'Робототехника' №838,НИЯУ МИФИ,2018,2020,ОКР,Робототехника,50584751
NIOKR-000839,Исследование в области 'Робототехника' №839,УрФУ,2018,2019,ОКР,Робототехника,53088975
NIOKR-000840,Исследование в области 'Информационные технологии' №840,МГТУ им. Баумана,2022,2024,Технологическая работа,Информационные технологии,44496088
NIOKR-000841,Исследование в области 'Новые материалы' №841,ИТМО,2016,2019,Технологическая работа,Новые материалы,74061428
NIOKR-000842,Исследование в области 'Микроэлектроника' №842,Томский политехнический университет,2024,2025,ОКР,Микроэлектроника,79876916
NIOKR-000843,Исследование в области 'Новые материалы' №843,Томский политехнический университет,2016,2019,НИР,Новые материалы,70306247
NIOKR-000844,Исследование в области 'Биотехнологии' №844,КФУ,2021,2023,ОКР,Биотехнологии,82095825
NIOKR-000845,Исследование в области 'Ядерные технологии' №845,КФУ,2015,2018,НИР,Ядерные технологии,31868838
NIOKR-000846,Исследование в области 'Новые материалы' №846,СПбГУ,2016,2019,НИР,Новые материалы,26086055
NIOKR-000847,Исследование в области 'Искусственный интеллект' №847,СПбГУ,2017,2019,ОКР,Искусственный интеллект,45322017
NIOKR-000848,Исследование в области 'Квантовые технологии' №848,КФУ,2016,2018,НИР,Квантовые технологии,80294612
NIOKR-000849,Исследование в области 'Микроэлектроника' №849,МГТУ им. Баумана,2017,2020,НИР,Микроэлектроника,6790734
NIOKR-000850,Исследование в области 'Ядерные технологии' №850,МФТИ,2017,2020,Технологическая работа,Ядерные технологии,69805754
NIOKR-000851,Исследование в области 'Ядерные технологии' №851,МГТУ им. Баумана,2015,2018,НИР,Ядерные технологии,35663022
NIOKR-000852,Исследование в области 'Микроэлектроника' №852,Сколтех,2017,2020,Технологическая работа,Микроэлектроника,86580271
NIOKR-000853,Исследование в области 'Новые материалы' №853,НИЯУ МИФИ,2015,2018,НИР,Новые материалы,61291054
NIOKR-000854,Исследование в области 'Квантовые технологии' №854,МФТИ,2024,2026,НИР,Квантовые технологии,56132193
NIOKR-000855,Исследование в области 'Ядерные технологии' №855,Сколтех,2024,2025,Технологическая работа,Ядерные технологии,69559074
NIOKR-000856,Исследование в области 'Биотехнологии' №856,КФУ,2019,2020,Технологическая работа,Биотехнологии,80268452
NIOKR-000857,Исследование в области 'Микроэлектроника' №857,Томский политехнический университет,2016,2017,НИР,Микроэлектроника,15572034
NIOKR-000858,Исследование в области 'Микроэлектроника' №858,МФТИ,2015,2016,Технологическая работа,Микроэлектроника,13924976
NIOKR-000859,Исследование в области 'Информационные технологии' №859,УрФУ,2017,2019,Технологическая работа,Информационные технологии,16772785
NIOKR-000860,Исследование в области 'Ядерные технологии' №860,Сколтех,2016,2018,Технологическая работа,Ядерные технологии,1161088
NIOKR-000861,Исследование в области 'Микроэлектроника' №861,НИУ ВШЭ,2021,2024,НИР,Микроэлектроника,94636032
NIOKR-000862,Исследование в области 'Робототехника' №862,КФУ,2023,2025,ОКР,Робототехника,48045704
NIOKR-000863,Исследование в области 'Искусственный интеллект' №863,Томский политехнический университет,2024,2027,НИР,Искусственный интеллект,35160831
NIOKR-000864,Исследование в области 'Искусственный интеллект' №864,ИТМО,2022,2023,Технологическая работа,Искусственный интеллект,73978342
NIOKR-000865,Исследование в области 'Робототехника' №865,МГТУ им. Баумана,2021,2023,Технологическая работа,Робототехника,1954835
NIOKR-000866,Исследование в области 'Искусственный интеллект' №866,УрФУ,2024,2027,НИР,Искусственный интеллект,51335658
NIOKR-000867,Исследование в области 'Биотехнологии' №867,Томский политехнический университет,2018,2021,ОКР,Биотехнологии,15305357
NIOKR-000868,Исследование в области 'Новые материалы' №868,ИТМО,2017,2019,Технологическая работа,Новые материалы,57849468
NIOKR-000869,Исследование в области 'Новые материалы' №869,Томский политехнический университет,2024,2026,НИР,Новые материалы,56462544
NIOKR-000870,Исследование в области 'Квантовые технологии' №870,МФТИ,2023,2026,ОКР,Квантовые технологии,76040303
NIOKR-000871,Исследование в области 'Новые материалы' №871,ИТМО,2023,2025,Технологическая работа,Новые материалы,47218720
NIOKR-000872,Исследование в области 'Ядерные технологии' №872,НИЯУ МИФИ,2021,2024,Технологическая работа,Ядерные технологии,31839382
NIOKR-000873,Исследование в области 'Ядерные технологии' №873,НИЯУ МИФИ,2022,2025,НИР,Ядерные технологии,69228715
NIOKR-000874,Исследование в области 'Информационные технологии' №874,МФТИ,2021,2023,ОКР,Информационные технологии,86345915
NIOKR-000875,Исследование в области 'Ядерные технологии' №875,КФУ,2015,2016,Технологическая работа,Ядерные технологии,59435370
NIOKR-000876,Исследование в области 'Новые материалы' №876,СПбГУ,2016,2017,ОКР,Новые материалы,11742751
NIOKR-000877,Исследование в области 'Микроэлектроника' №877,Томский политехнический университет,2024,2025,Технологическая работа,Микроэлектроника,89070348
NIOKR-000878,Исследование в области 'Информационные технологии' №878,МФТИ,2023,2025,Технологическая работа,Информационные технологии,67353000
NIOKR-000879,Исследование в области 'Робототехника' №879,УрФУ,2022,2023,ОКР,Робототехника,27138432
NIOKR-000880,Исследование в области 'Робототехника' №880,Сколтех,2015,2018,НИР,Робототехника,91466021
NIOKR-000881,Исследование в области 'Робототехника' №881,МГТУ им. Баумана,2015,2017,НИР,Робототехника,12655844
NIOKR-000882,Исследование в области 'Биотехнологии' №882,Томский политехнический университет,2019,2021,ОКР,Биотехнологии,79662348
NIOKR-000883,Исследование в области 'Информационные технологии' №883,НИЯУ МИФИ,2018,2021,НИР,Информационные технологии,74765077
NIOKR-000884,Исследование в области 'Биотехнологии' №884,НИУ ВШЭ,2019,2022,ОКР,Биотехнологии,31372869
NIOKR-000885,Исследование в области 'Квантовые технологии' №885,Томский политехнический университет,2024,2025,Технологическая работа,Квантовые технологии,1624307
NIOKR-000886,Исследование в области 'Микроэлектроника' №886,УрФУ,2019,2020,НИР,Микроэлектроника,75978145
NIOKR-000887,Исследование в области 'Новые материалы' №887,НИУ ВШЭ,2016,2019,НИР,Новые материалы,69892172
NIOKR-000888,Исследование в области 'Новые материалы' №888,КФУ,2019,2022,ОКР,Новые материалы,76587210
NIOKR-000889,Исследование в области 'Биотехнологии' №889,КФУ,2022,2023,Технологическая работа,Биотехнологии,62836850
NIOKR-000890,Исследование в области 'Квантовые технологии' №890,НИЯУ МИФИ,2024,2025,ОКР,Квантовые технологии,10066979
NIOKR-000891,Исследование в области 'Робототехника' №891,СПбГУ,2021,2024,ОКР,Робототехника,56354876
NIOKR-000892,Исследование в области 'Информационные технологии' №892,ИТМО,2020,2023,НИР,Информационные технологии,39559355
NIOKR-000893,Исследование в области 'Биотехнологии' №893,НИЯУ МИФИ,2016,2018,Технологическая работа,Биотехнологии,24955951
NIOKR-000894,Исследование в области 'Биотехнологии' №894,СПбГУ,2022,2024,Технологическая работа,Биотехнологии,37114740
NIOKR-000895,Исследование в области 'Робототехника' №895,КФУ,2017,2020,Технологическая работа,Робототехника,27798789
NIOKR-000896,Исследование в области 'Робототехника' №896,ИТМО,2018,2021,НИР,Робототехника,31763714
NIOKR-000897,Исследование в области 'Биотехнологии' №897,МФТИ,2018,2019,НИР,Биотехнологии,17089818
NIOKR-000898,Исследование в области 'Квантовые технологии' №898,Сколтех,2016,2019,НИР,Квантовые технологии,73675403
NIOKR-000899,Исследование в области 'Биотехнологии' №899,Сколтех,2015,2017,ОКР,Биотехнологии,67080806
NIOKR-000900,Исследование в области 'Квантовые технологии' №900,МФТИ,2024,2026,Технологическая работа,Квантовые технологии,38616749
NIOKR-000901,Исследование в области 'Ядерные технологии' №901,МГТУ им. Баумана,2021,2022,Технологическая работа,Ядерные технологии,57797703
NIOKR-000902,Исследование в области 'Информационные технологии' №902,УрФУ,2022,2025,ОКР,Информационные технологии,53843790
NIOKR-000903,Исследование в области 'Искусственный интеллект' №903,УрФУ,2017,2019,ОКР,Искусственный интеллект,43365995
NIOKR-000904,Исследование в области 'Робототехника' №904,Томский политехнический университет,2015,2016,Технологическая работа,Робототехника,14522144
NIOKR-000905,Исследование в области 'Новые материалы' №905,МФТИ,2020,2022,Технологическая работа,Новые материалы,36279000
NIOKR-000906,Исследование в области 'Квантовые технологии' №906,Сколтех,2018,2020,ОКР,Квантовые технологии,50113508
NIOKR-000907,Исследование в области 'Микроэлектроника' №907,СПбГУ,2017,2019,ОКР,Микроэлектроника,95048056
NIOKR-000908,Исследование в области 'Микроэлектроника' №908,ИТМО,2020,2022,ОКР,Микроэлектроника,25144323
NIOKR-000909,Исследование в области 'Робототехника' №909,НИЯУ МИФИ,2024,2025,Технологическая работа,Робототехника,37231955
NIOKR-000910,Исследование в области 'Микроэлектроника' №910,Томский политехнический университет,2018,2021,НИР,Микроэлектроника,20574814
NIOKR-000911,Исследование в области 'Информационные технологии' №911,МФТИ,2017,2019,ОКР,Информационные технологии,68054885
NIOKR-000912,Исследование в области 'Биотехнологии' №912,КФУ,2017,2020,ОКР,Биотехнологии,34685164
NIOKR-000913,Исследование в области 'Информационные технологии' №913,Томский политехнический университет,2023,2026,НИР,Информационные технологии,93683136
NIOKR-000914,Исследование в области 'Робототехника' №914,ИТМО,2017,2018,ОКР,Робототехника,85538675
NIOKR-000915,Исследование в области 'Биотехнологии' №915,ИТМО,2016,2018,ОКР,Биотехнологии,49359530
NIOKR-000916,Исследование в области 'Новые материалы' №916,НИУ ВШЭ,2023,2026,НИР,Новые материалы,56265613
NIOKR-000917,Исследование в области 'Робототехника' №917,Сколтех,2016,2018,Технологическая работа,Робототехника,88223468
NIOKR-000918,Исследование в области 'Новые материалы' №918,НИУ ВШЭ,2023,2024,ОКР,Новые материалы,91354413
NIOKR-000919,Исследование в области 'Квантовые технологии' №919,НИЯУ МИФИ,2023,2025,ОКР,Квантовые технологии,83364557
NIOKR-000920,Исследование в области 'Ядерные технологии' №920,МФТИ,2019,2021,Технологическая работа,Ядерные технологии,46283492
NIOKR-000921,Исследование в области 'Микроэлектроника' №921,НИЯУ МИФИ,2021,2024,НИР,Микроэлектроника,22743203
NIOKR-000922,Исследование в области 'Биотехнологии' №922,НИУ ВШЭ,2020,2021,Технологическая работа,Биотехнологии,40105187
NIOKR-000923,Исследование в области 'Микроэлектроника' №923,ИТМО,2019,2022,ОКР,Микроэлектроника,49743159
NIOKR-000924,Исследование в области 'Квантовые технологии' №924,Томский политехнический университет,2024,2027,НИР,Квантовые технологии,25680787
NIOKR-000925,Исследование в области 'Робототехника' №925,ИТМО,2015,2016,Технологическая работа,Робототехника,95045949
NIOKR-000926,Исследование в области 'Ядерные технологии' №926,Томский политехнический университет,2016,2017,НИР,Ядерные технологии,13825003
NIOKR-000927,Исследование в области 'Информационные технологии' №927,МГТУ им. Баумана,2016,2018,ОКР,Информационные технологии,71327779
NIOKR-000928,Исследование в области 'Новые материалы' №928,Сколтех,2016,2017,НИР,Новые материалы,12316066
NIOKR-000929,Исследование в области 'Робототехника' №929,СПбГУ,2021,2023,Технологическая работа,Робототехника,39141360
NIOKR-000930,Исследование в области 'Ядерные технологии' №930,МФТИ,2022,2025,Технологическая работа,Ядерные технологии,23898616
NIOKR-000931,Исследование в области 'Биотехнологии' №931,НИУ ВШЭ,2015,2016,ОКР,Биотехнологии,63705646
NIOKR-000932,Исследование в области 'Квантовые технологии' №932,МФТИ,2023,2025,Технологическая работа,Квантовые технологии,73381952
NIOKR-000933,Исследование в области 'Квантовые технологии' №933,Сколтех,2017,2020,ОКР,Квантовые технологии,71257585
NIOKR-000934,Исследование в области 'Биотехнологии' №934,КФУ,2023,2025,Технологическая работа,Биотехнологии,31484663
NIOKR-000935,Исследование в области 'Новые материалы' №935,НИУ ВШЭ,2016,2018,ОКР,Новые материалы,35870711
NIOKR-000936,Исследование в области 'Информационные технологии' №936,МГТУ им. Баумана,2017,2019,Технологическая работа,Информационные технологии,19293937
NIOKR-000937,Исследование в области 'Квантовые технологии' №937,УрФУ,2020,2022,НИР,Квантовые технологии,93310921
NIOKR-000938,Исследование в области 'Новые материалы' №938,МГТУ им. Баумана,2022,2024,ОКР,Новые материалы,40315407
NIOKR-000939,Исследование в области 'Информационные технологии' №939,УрФУ,2024,2025,ОКР,Информационные технологии,26309568
NIOKR-000940,Исследование в области 'Микроэлектроника' №940,Томский политехнический университет,2021,2024,НИР,Микроэлектроника,22913660
NIOKR-000941,Исследование в области 'Робототехника' №941,ИТМО,2021,2023,НИР,Робототехника,57672010
NIOKR-000942,Исследование в области 'Новые материалы' №942,ИТМО,2018,2021,Технологическая работа,Новые материалы,72396350
NIOKR-000943,Исследование в области 'Робототехника' №943,НИЯУ МИФИ,2019,2021,НИР,Робототехника,19337367
NIOKR-000944,Исследование в области 'Квантовые технологии' №944,Сколтех,2019,2020,ОКР,Квантовые технологии,37525224
NIOKR-000945,Исследование в области 'Робототехника' №945,НИУ ВШЭ,2024,2026,НИР,Робототехника,21421134
NIOKR-000946,Исследование в области 'Информационные технологии' №946,МФТИ,2015,2018,НИР,Информационные технологии,38864772
NIOKR-000947,Исследование в области 'Квантовые технологии' №947,МГТУ им. Баумана,2019,2020,НИР,Квантовые технологии,13106034
NIOKR-000948,Исследование в области 'Квантовые технологии' №948,СПбГУ,2017,2018,ОКР,Квантовые технологии,57404064
NIOKR-000949,Исследование в области 'Биотехнологии' №949,КФУ,2019,2021,Технологическая работа,Биотехнологии,5259684
NIOKR-000950,Исследование в области 'Ядерные технологии' №950,МГТУ им. Баумана,2020,2021,ОКР,Ядерные технологии,53669959
NIOKR-000951,Исследование в области 'Квантовые технологии' №951,МФТИ,2016,2019,НИР,Квантовые технологии,34565097
NIOKR-000952,Исследование в области 'Искусственный интеллект' №952,СПбГУ,2021,2022,ОКР,Искусственный интеллект,60453211
NIOKR-000953,Исследование в области 'Информационные технологии' №953,СПбГУ,2018,2021,ОКР,Информационные технологии,99693352
NIOKR-000954,Исследование в области 'Робототехника' №954,КФУ,2016,2019,ОКР,Робототехника,92461639
NIOKR-000955,Исследование в области 'Ядерные технологии' №955,МГТУ им. Баумана,2019,2021,Технологическая работа,Ядерные технологии,74763371
NIOKR-000956,Исследование в области 'Новые материалы' №956,КФУ,2023,2024,Технологическая работа,Новые материалы,41106013
NIOKR-000957,Исследование в области 'Информационные технологии' №957,СПбГУ,2018,2020,НИР,Информационные технологии,32670798
NIOKR-000958,Исследование в области 'Информационные технологии' №958,МФТИ,2021,2023,ОКР,Информационные технологии,79476684
NIOKR-000959,Исследование в области 'Робототехника' №959,МГТУ им. Баумана,2016,2018,НИР,Робототехника,78990837
NIOKR-000960,Исследование в области 'Ядерные технологии' №960,НИУ ВШЭ,2022,2025,НИР,Ядерные технологии,34382936
NIOKR-000961,Исследование в области 'Искусственный интеллект' №961,Сколтех,2017,2019,ОКР,Искусственный интеллект,84903841
NIOKR-000962,Исследование в области 'Биотехнологии' №962,МФТИ,2015,2016,Технологическая работа,Биотехнологии,72988124
NIOKR-000963,Исследование в области 'Квантовые технологии' №963,СПбГУ,2016,2017,ОКР,Квантовые технологии,75940527
NIOKR-000964,Исследование в области 'Робототехника' №964,МГТУ им. Баумана,2020,2022,Технологическая работа,Робототехника,51703288
NIOKR-000965,Исследование в области 'Ядерные технологии' №965,ИТМО,2020,2023,НИР,Ядерные технологии,66136149
NIOKR-000966,Исследование в области 'Новые материалы' №966,УрФУ,2022,2025,Технологическая работа,Новые материалы,66779034
NIOKR-000967,Исследование в области 'Ядерные технологии' №967,УрФУ,2018,2021,ОКР,Ядерные технологии,44443711
NIOKR-000968,Исследование в области 'Ядерные технологии' №968,НИЯУ МИФИ,2022,2024,Технологическая работа,Ядерные технологии,21807167
NIOKR-000969,Исследование в области 'Новые материалы' №969,УрФУ,2022,2024,ОКР,Новые материалы,61945449
NIOKR-000970,Исследование в области 'Микроэлектроника' №970,МФТИ,2015,2018,НИР,Микроэлектроника,84179370
NIOKR-000971,Исследование в области 'Робототехника' №971,НИУ ВШЭ,2020,2023,Технологическая работа,Робототехника,9501586
NIOKR-000972,Исследование в области 'Робототехника' №972,УрФУ,2023,2025,Технологическая работа,Робототехника,67779917
NIOKR-000973,Исследование в области 'Новые материалы' №973,НИУ ВШЭ,2023,2024,ОКР,Новые материалы,87020669
NIOKR-000974,Исследование в области 'Искусственный интеллект' №974,УрФУ,2020,2021,Технологическая работа,Искусственный интеллект,9949617
NIOKR-000975,Исследование в области 'Ядерные технологии' №975,МГТУ им. Баумана,2015,2016,НИР,Ядерные технологии,15368701
NIOKR-000976,Исследование в области 'Искусственный интеллект' №976,МГТУ им. Баумана,2022,2023,Технологическая работа,Искусственный интеллект,87134450
NIOKR-000977,Исследование в области 'Квантовые технологии' №977,УрФУ,2021,2024,Технологическая работа,Квантовые технологии,95128774
NIOKR-000978,Исследование в области 'Информационные технологии' №978,НИУ ВШЭ,2024,2026,НИР,Информационные технологии,82329718
NIOKR-000979,Исследование в области 'Робототехника' №979,КФУ,2016,2017,НИР,Робототехника,63821834
NIOKR-000980,Исследование в области 'Микроэлектроника' №980,НИУ ВШЭ,2015,2017,Технологическая работа,Микроэлектроника,8824896
NIOKR-000981,Исследование в области 'Информационные технологии' №981,НИЯУ МИФИ,2024,2026,ОКР,Информационные технологии,11460308
NIOKR-000982,Исследование в области 'Искусственный интеллект' №982,НИЯУ МИФИ,2018,2021,Технологическая работа,Искусственный интеллект,32006711
NIOKR-000983,Исследование в области 'Робототехника' №983,СПбГУ,2023,2025,Технологическая работа,Робототехника,89164473
NIOKR-000984,Исследование в области 'Ядерные технологии' №984,УрФУ,2018,2021,Технологическая работа,Ядерные технологии,75912498
